"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 06:59:23 GMT 2021","Thu Aug 12 06:59:31 GMT 2021","7547","python-tests","test_007_new_article","","","","test_new_article",""
"passed","Thu Aug 12 06:58:57 GMT 2021","Thu Aug 12 06:59:10 GMT 2021","12643","python-tests","test_002_registration","","","","test_reg",""
"passed","Thu Aug 12 06:59:21 GMT 2021","Thu Aug 12 06:59:21 GMT 2021","10","python-tests","test_005_list_articles","","","","test_list_articles",""
"passed","Thu Aug 12 06:59:21 GMT 2021","Thu Aug 12 06:59:23 GMT 2021","2083","python-tests","test_006_paginate","","","","test_paginate",""
"passed","Thu Aug 12 06:59:31 GMT 2021","Thu Aug 12 06:59:37 GMT 2021","6229","python-tests","test_008_edit_article","","","","test_editing",""
"passed","Thu Aug 12 06:58:55 GMT 2021","Thu Aug 12 06:58:57 GMT 2021","2108","python-tests","test_001_decline_cookies","","","","test_decline_cookies",""
"passed","Thu Aug 12 06:59:37 GMT 2021","Thu Aug 12 06:59:41 GMT 2021","4277","python-tests","test_009_delete_article","","","","test_delete",""
"passed","Thu Aug 12 06:59:15 GMT 2021","Thu Aug 12 06:59:21 GMT 2021","6266","python-tests","test_004_login","","","","test_logging_in",""
"passed","Thu Aug 12 06:59:10 GMT 2021","Thu Aug 12 06:59:15 GMT 2021","5228","python-tests","test_003_logout","","","","test_logout",""
